Date,Team,Points,Group,Rank
10 June 2021,Turkey,0,A,1
10 June 2021,Italy,0,A,2
10 June 2021,Wales,0,A,3
10 June 2021,Switzerland,0,A,4
10 June 2021,Denmark,0,B,1
10 June 2021,Finland,0,B,2
10 June 2021,Belgium,0,B,3
10 June 2021,Russia,0,B,4
10 June 2021,Netherlands,0,C,1
10 June 2021,Ukraine,0,C,2
10 June 2021,Austria,0,C,3
10 June 2021,North Macedonia,0,C,4
10 June 2021,England,0,D,1
10 June 2021,Croatia,0,D,2
10 June 2021,Scotland,0,D,3
10 June 2021,Czech Republic,0,D,4
10 June 2021,Spain,0,E,1
10 June 2021,Sweden,0,E,2
10 June 2021,Poland,0,E,3
10 June 2021,Slovakia,0,E,4
10 June 2021,Hungary,0,F,1
10 June 2021,Portugal,0,F,2
10 June 2021,France,0,F,3
10 June 2021,Germany,0,F,4
11 June 2021,Turkey,0,A,4
11 June 2021,Italy,3,A,1
11 June 2021,Wales,0,A,3
11 June 2021,Switzerland,0,A,2
11 June 2021,Denmark,0,B,1
11 June 2021,Finland,0,B,2
11 June 2021,Belgium,0,B,3
11 June 2021,Russia,0,B,4
11 June 2021,Netherlands,0,C,1
11 June 2021,Ukraine,0,C,2
11 June 2021,Austria,0,C,3
11 June 2021,North Macedonia,0,C,4
11 June 2021,England,0,D,1
11 June 2021,Croatia,0,D,2
11 June 2021,Scotland,0,D,3
11 June 2021,Czech Republic,0,D,4
11 June 2021,Spain,0,E,1
11 June 2021,Sweden,0,E,2
11 June 2021,Poland,0,E,3
11 June 2021,Slovakia,0,E,4
11 June 2021,Hungary,0,F,1
11 June 2021,Portugal,0,F,2
11 June 2021,France,0,F,3
11 June 2021,Germany,0,F,4
12 June 2021,Turkey,0,A,4
12 June 2021,Italy,3,A,1
12 June 2021,Wales,1,A,3
12 June 2021,Switzerland,1,A,2
12 June 2021,Denmark,0,B,3
12 June 2021,Finland,3,B,2
12 June 2021,Belgium,3,B,1
12 June 2021,Russia,0,B,4
12 June 2021,Netherlands,0,C,1
12 June 2021,Ukraine,0,C,2
12 June 2021,Austria,0,C,3
12 June 2021,North Macedonia,0,C,4
12 June 2021,England,0,D,1
12 June 2021,Croatia,0,D,2
12 June 2021,Scotland,0,D,3
12 June 2021,Czech Republic,0,D,4
12 June 2021,Spain,0,E,1
12 June 2021,Sweden,0,E,2
12 June 2021,Poland,0,E,3
12 June 2021,Slovakia,0,E,4
12 June 2021,Hungary,0,F,1
12 June 2021,Portugal,0,F,2
12 June 2021,France,0,F,3
12 June 2021,Germany,0,F,4
13 June 2021,Turkey,0,A,4
13 June 2021,Italy,3,A,1
13 June 2021,Wales,1,A,3
13 June 2021,Switzerland,1,A,2
13 June 2021,Denmark,0,B,3
13 June 2021,Finland,3,B,2
13 June 2021,Belgium,3,B,1
13 June 2021,Russia,0,B,4
13 June 2021,Netherlands,3,C,2
13 June 2021,Ukraine,0,C,3
13 June 2021,Austria,3,C,1
13 June 2021,North Macedonia,0,C,4
13 June 2021,England,3,D,1
13 June 2021,Croatia,0,D,4
13 June 2021,Scotland,0,D,3
13 June 2021,Czech Republic,0,D,2
13 June 2021,Spain,0,E,1
13 June 2021,Sweden,0,E,2
13 June 2021,Poland,0,E,3
13 June 2021,Slovakia,0,E,4
13 June 2021,Hungary,0,F,1
13 June 2021,Portugal,0,F,2
13 June 2021,France,0,F,3
13 June 2021,Germany,0,F,4
14 June 2021,Turkey,0,A,4
14 June 2021,Italy,3,A,1
14 June 2021,Wales,1,A,3
14 June 2021,Switzerland,1,A,2
14 June 2021,Denmark,0,B,3
14 June 2021,Finland,3,B,2
14 June 2021,Belgium,3,B,1
14 June 2021,Russia,0,B,4
14 June 2021,Netherlands,3,C,2
14 June 2021,Ukraine,0,C,3
14 June 2021,Austria,3,C,1
14 June 2021,North Macedonia,0,C,4
14 June 2021,England,3,D,2
14 June 2021,Croatia,0,D,3
14 June 2021,Scotland,0,D,4
14 June 2021,Czech Republic,3,D,1
14 June 2021,Spain,1,E,2
14 June 2021,Sweden,1,E,3
14 June 2021,Poland,0,E,4
14 June 2021,Slovakia,3,E,1
14 June 2021,Hungary,0,F,1
14 June 2021,Portugal,0,F,2
14 June 2021,France,0,F,3
14 June 2021,Germany,0,F,4
15 June 2021,Turkey,0,A,4
15 June 2021,Italy,3,A,1
15 June 2021,Wales,1,A,3
15 June 2021,Switzerland,1,A,2
15 June 2021,Denmark,0,B,3
15 June 2021,Finland,3,B,2
15 June 2021,Belgium,3,B,1
15 June 2021,Russia,0,B,4
15 June 2021,Netherlands,3,C,2
15 June 2021,Ukraine,0,C,3
15 June 2021,Austria,3,C,1
15 June 2021,North Macedonia,0,C,4
15 June 2021,England,3,D,2
15 June 2021,Croatia,0,D,3
15 June 2021,Scotland,0,D,4
15 June 2021,Czech Republic,3,D,1
15 June 2021,Spain,1,E,2
15 June 2021,Sweden,1,E,3
15 June 2021,Poland,0,E,4
15 June 2021,Slovakia,3,E,1
15 June 2021,Hungary,0,F,4
15 June 2021,Portugal,3,F,1
15 June 2021,France,3,F,2
15 June 2021,Germany,0,F,3
16 June 2021,Turkey,0,A,4
16 June 2021,Italy,6,A,1
16 June 2021,Wales,4,A,2
16 June 2021,Switzerland,1,A,3
16 June 2021,Denmark,0,B,4
16 June 2021,Finland,3,B,3
16 June 2021,Belgium,3,B,1
16 June 2021,Russia,3,B,2
16 June 2021,Netherlands,3,C,2
16 June 2021,Ukraine,0,C,3
16 June 2021,Austria,3,C,1
16 June 2021,North Macedonia,0,C,4
16 June 2021,England,3,D,2
16 June 2021,Croatia,0,D,3
16 June 2021,Scotland,0,D,4
16 June 2021,Czech Republic,3,D,1
16 June 2021,Spain,1,E,2
16 June 2021,Sweden,1,E,3
16 June 2021,Poland,0,E,4
16 June 2021,Slovakia,3,E,1
16 June 2021,Hungary,0,F,4
16 June 2021,Portugal,3,F,1
16 June 2021,France,3,F,2
16 June 2021,Germany,0,F,3
17 June 2021,Turkey,0,A,4
17 June 2021,Italy,6,A,1
17 June 2021,Wales,4,A,2
17 June 2021,Switzerland,1,A,3
17 June 2021,Denmark,0,B,4
17 June 2021,Finland,3,B,3
17 June 2021,Belgium,6,B,1
17 June 2021,Russia,3,B,2
17 June 2021,Netherlands,6,C,1
17 June 2021,Ukraine,3,C,2
17 June 2021,Austria,3,C,3
17 June 2021,North Macedonia,0,C,4
17 June 2021,England,3,D,2
17 June 2021,Croatia,0,D,3
17 June 2021,Scotland,0,D,4
17 June 2021,Czech Republic,3,D,1
17 June 2021,Spain,1,E,2
17 June 2021,Sweden,1,E,3
17 June 2021,Poland,0,E,4
17 June 2021,Slovakia,3,E,1
17 June 2021,Hungary,0,F,4
17 June 2021,Portugal,3,F,1
17 June 2021,France,3,F,2
17 June 2021,Germany,0,F,3
18 June 2021,Turkey,0,A,4
18 June 2021,Italy,6,A,1
18 June 2021,Wales,4,A,2
18 June 2021,Switzerland,1,A,3
18 June 2021,Denmark,0,B,4
18 June 2021,Finland,3,B,3
18 June 2021,Belgium,6,B,1
18 June 2021,Russia,3,B,2
18 June 2021,Netherlands,6,C,1
18 June 2021,Ukraine,3,C,2
18 June 2021,Austria,3,C,3
18 June 2021,North Macedonia,0,C,4
18 June 2021,England,4,D,2
18 June 2021,Croatia,1,D,3
18 June 2021,Scotland,1,D,4
18 June 2021,Czech Republic,4,D,1
18 June 2021,Spain,1,E,3
18 June 2021,Sweden,4,E,1
18 June 2021,Poland,0,E,4
18 June 2021,Slovakia,3,E,2
18 June 2021,Hungary,0,F,4
18 June 2021,Portugal,3,F,1
18 June 2021,France,3,F,2
18 June 2021,Germany,0,F,3
19 June 2021,Turkey,0,A,4
19 June 2021,Italy,6,A,1
19 June 2021,Wales,4,A,2
19 June 2021,Switzerland,1,A,3
19 June 2021,Denmark,0,B,4
19 June 2021,Finland,3,B,3
19 June 2021,Belgium,6,B,1
19 June 2021,Russia,3,B,2
19 June 2021,Netherlands,6,C,1
19 June 2021,Ukraine,3,C,2
19 June 2021,Austria,3,C,3
19 June 2021,North Macedonia,0,C,4
19 June 2021,England,4,D,2
19 June 2021,Croatia,1,D,3
19 June 2021,Scotland,1,D,4
19 June 2021,Czech Republic,4,D,1
19 June 2021,Spain,2,E,3
19 June 2021,Sweden,4,E,1
19 June 2021,Poland,1,E,4
19 June 2021,Slovakia,3,E,2
19 June 2021,Hungary,1,F,4
19 June 2021,Portugal,3,F,3
19 June 2021,France,4,F,1
19 June 2021,Germany,3,F,2
20 June 2021,Turkey,0,A,4
20 June 2021,Italy,9,A,1
20 June 2021,Wales,4,A,2
20 June 2021,Switzerland,4,A,3
20 June 2021,Denmark,0,B,4
20 June 2021,Finland,3,B,3
20 June 2021,Belgium,6,B,1
20 June 2021,Russia,3,B,2
20 June 2021,Netherlands,6,C,1
20 June 2021,Ukraine,3,C,2
20 June 2021,Austria,3,C,3
20 June 2021,North Macedonia,0,C,4
20 June 2021,England,4,D,2
20 June 2021,Croatia,1,D,3
20 June 2021,Scotland,1,D,4
20 June 2021,Czech Republic,4,D,1
20 June 2021,Spain,2,E,3
20 June 2021,Sweden,4,E,1
20 June 2021,Poland,1,E,4
20 June 2021,Slovakia,3,E,2
20 June 2021,Hungary,1,F,4
20 June 2021,Portugal,3,F,3
20 June 2021,France,4,F,1
20 June 2021,Germany,3,F,2
21 June 2021,Turkey,0,A,4
21 June 2021,Italy,9,A,1
21 June 2021,Wales,4,A,2
21 June 2021,Switzerland,4,A,3
21 June 2021,Denmark,3,B,2
21 June 2021,Finland,3,B,3
21 June 2021,Belgium,9,B,1
21 June 2021,Russia,3,B,4
21 June 2021,Netherlands,9,C,1
21 June 2021,Ukraine,3,C,3
21 June 2021,Austria,6,C,2
21 June 2021,North Macedonia,0,C,4
21 June 2021,England,4,D,2
21 June 2021,Croatia,1,D,3
21 June 2021,Scotland,1,D,4
21 June 2021,Czech Republic,4,D,1
21 June 2021,Spain,2,E,3
21 June 2021,Sweden,4,E,1
21 June 2021,Poland,1,E,4
21 June 2021,Slovakia,3,E,2
21 June 2021,Hungary,1,F,4
21 June 2021,Portugal,3,F,3
21 June 2021,France,4,F,1
21 June 2021,Germany,3,F,2
22 June 2021,Turkey,0,A,4
22 June 2021,Italy,9,A,1
22 June 2021,Wales,4,A,2
22 June 2021,Switzerland,4,A,3
22 June 2021,Denmark,3,B,2
22 June 2021,Finland,3,B,3
22 June 2021,Belgium,9,B,1
22 June 2021,Russia,3,B,4
22 June 2021,Netherlands,9,C,1
22 June 2021,Ukraine,3,C,3
22 June 2021,Austria,6,C,2
22 June 2021,North Macedonia,0,C,4
22 June 2021,England,7,D,1
22 June 2021,Croatia,4,D,2
22 June 2021,Scotland,1,D,4
22 June 2021,Czech Republic,4,D,3
22 June 2021,Spain,2,E,3
22 June 2021,Sweden,4,E,1
22 June 2021,Poland,1,E,4
22 June 2021,Slovakia,3,E,2
22 June 2021,Hungary,1,F,4
22 June 2021,Portugal,3,F,3
22 June 2021,France,4,F,1
22 June 2021,Germany,3,F,2
23 June 2021,Turkey,0,A,4
23 June 2021,Italy,9,A,1
23 June 2021,Wales,4,A,2
23 June 2021,Switzerland,4,A,3
23 June 2021,Denmark,3,B,2
23 June 2021,Finland,3,B,3
23 June 2021,Belgium,9,B,1
23 June 2021,Russia,3,B,4
23 June 2021,Netherlands,9,C,1
23 June 2021,Ukraine,3,C,3
23 June 2021,Austria,6,C,2
23 June 2021,North Macedonia,0,C,4
23 June 2021,England,7,D,1
23 June 2021,Croatia,4,D,2
23 June 2021,Scotland,1,D,4
23 June 2021,Czech Republic,4,D,3
23 June 2021,Spain,5,E,2
23 June 2021,Sweden,7,E,1
23 June 2021,Poland,1,E,4
23 June 2021,Slovakia,3,E,3
23 June 2021,Hungary,2,F,4
23 June 2021,Portugal,4,F,3
23 June 2021,France,5,F,1
23 June 2021,Germany,4,F,2
